params,val_loss
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",4.534523531794548
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.925187607606252
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.834975987672806
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.88371675213178
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.9475055734316506
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",3.3171077320973077
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.9175636867682138
"(512, 2048, 128, 1, 8193, 4, 0.1, 1e-05)",2.9650135934352875
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.827809194723765
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.821965545415878
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.82019937535127
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.818681066234906
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.90448538462321
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.95413797100385
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.826344559590022
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.8204537232716875
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.83826540907224
"(512, 2048, 128, 1, 8193, 4, 0.1, 0.0001)",4.842040320237477
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",4.102085684736569
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",3.1582247465848923
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",3.246751129627228
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",3.5773446361223855
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",4.878282621502876
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",6.78355340162913
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",6.605215152104695
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",7.9999222954114275
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",5.764254063367844
"(512, 2048, 128, 2, 8193, 2, 0.1, 1e-05)",7.27827246983846
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",4.817260379592578
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",23.374150196711224
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",7.928555806477864
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",5.334931651751201
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",32.300360361735024
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",6.933189868927002
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",21.812500556310017
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",68.99134159088135
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",144.86578241984049
"(512, 2048, 128, 2, 8193, 2, 0.1, 0.0001)",53.0459688504537
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",4.227114568154017
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",3.3958298166592917
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",3.5317775905132294
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",5.3906875650087995
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",4.358299235502879
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",4.804866229494412
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",3.5168559700250626
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",3.386672005057335
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",3.1294405857721963
"(512, 2048, 128, 2, 8193, 4, 0.1, 1e-05)",2.905132452646891
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.900123581290245
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",5.012780278921127
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.821170603235562
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.819666653871536
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.819478397568067
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.820072591304779
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.820861702164014
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.8229357451200485
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.822042043010394
"(512, 2048, 128, 2, 8193, 4, 0.1, 0.0001)",4.8227811853090925
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",3.85520368317763
